,person_id,full_name,given_name,last_name,gender,graduate_degree,mfa_degree,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,elite_1,elite_2,elite_3,award
2640,577.0,Diane Johnson,Diane,Johnson,female,0,no mfa,winner,American Academy of Arts and Letters,Mildred And Harold Strauss Livings,1988.0,prose,career,100000.0,,,,1.0
2641,583.0,Dominique Morisseau,Dominique,Morisseau,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,2017.0,no genre,career,10000.0,,,,1.0
2642,603.0,Doris Betts,Doris,Betts,female,0,no mfa,winner,American Academy of Arts and Letters,Award of Merit Medal in the Short Story,1989.0,prose,career,25000.0,,,,1.0
2643,619.0,Eavan Boland,Eavan,Boland,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1994.0,poetry,career,150000.0,,,,1.0
2644,633.0,Edna St Vincent Millay,Edna St Vincent,Millay,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1949.0,poetry,career,25000.0,,,,1.0
2645,649.0,Eileen Myles,Eileen,Myles,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,2019.0,no genre,career,10000.0,,,,1.0
2646,655.0,Eleanor Clark,Eleanor,Clark,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1947.0,no genre,career,10000.0,,,,1.0
2647,657.0,Eleanor Perenyi,Eleanor,Perenyi,female,0,no mfa,winner,American Academy of Arts and Letters,Harold D. Vursell Memorial Award,1982.0,prose,career,20000.0,,,,1.0
2648,668.0,Elizabeth Bishop,Elizabeth,Bishop,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1964.0,poetry,career,25000.0,,,,1.0
2649,668.0,Elizabeth Bishop,Elizabeth,Bishop,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1951.0,no genre,career,10000.0,,,,1.0
2650,668.0,Elizabeth Bishop,Elizabeth,Bishop,female,0,no mfa,winner,Library of Congress,Poet Laureate,1950.0,poetry,career,35000.0,,,,1.0
2651,668.0,Elizabeth Bishop,Elizabeth,Bishop,female,0,no mfa,winner,Library of Congress,Poet Laureate,1949.0,poetry,career,35000.0,,,,1.0
2652,672.0,Elizabeth Hardwick,Elizabeth,Hardwick,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1974.0,no genre,career,10000.0,,,,1.0
2653,676.0,Elizabeth Parsons,Elizabeth,Parsons,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1947.0,no genre,career,10000.0,,,,1.0
2654,683.0,Ellen Akins,Ellen,Akins,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1993.0,no genre,career,10000.0,,,,1.0
2655,683.0,Ellen Akins,Ellen,Akins,female,0,no mfa,winner,Whiting Foundation,Whiting Award,1989.0,no genre,career,50000.0,,,,1.0
2656,686.0,Ellen Douglas,Ellen,Douglas,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,2000.0,no genre,career,10000.0,,,,1.0
2657,693.0,Emily Carter,Emily,Carter,female,0,no mfa,winner,Whiting Foundation,Whiting Award,2001.0,no genre,career,50000.0,,,,1.0
2658,695.0,Emily Hiestand,Emily,Hiestand,female,0,no mfa,winner,Whiting Foundation,Whiting Award,1990.0,no genre,career,50000.0,,,,1.0
2659,696.0,Emily Jungmin Yoon,Emily Jungmin,Yoon,female,0,no mfa,winner,Poetry Foundation,Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship,2017.0,poetry,career,25800.0,,,,1.0
2660,711.0,Erna Brodber,Erna,Brodber,female,0,no mfa,winner,Yale University,Windham Campbell Prize,2017.0,prose,career,165000.0,,,,1.0
2661,792.0,Genevieve Taggard,Genevieve,Taggard,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1948.0,no genre,career,10000.0,,,,1.0
2662,820.0,Gjertrud Schnackenberg,Gjertrud,Schnackenberg,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1998.0,no genre,career,10000.0,,,,1.0
2663,830.0,Grace Paley,Grace,Paley,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1970.0,no genre,career,10000.0,,,,1.0
2664,830.0,Grace Paley,Grace,Paley,female,0,no mfa,winner,Lannan Foundation,Lannan Award,1997.0,prose,career,150000.0,,,,1.0
2665,842.0,Gwendolyn Brooks,Gwendolyn,Brooks,female,0,no mfa,winner,Academy of American Poets,Academy of American Poets Fellowship,1999.0,poetry,career,25000.0,,,,1.0
2666,842.0,Gwendolyn Brooks,Gwendolyn,Brooks,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1946.0,no genre,career,10000.0,,,,1.0
2667,842.0,Gwendolyn Brooks,Gwendolyn,Brooks,female,0,no mfa,winner,Library of Congress,Poet Laureate,1986.0,poetry,career,35000.0,,,,1.0
2668,842.0,Gwendolyn Brooks,Gwendolyn,Brooks,female,0,no mfa,winner,Library of Congress,Poet Laureate,1985.0,poetry,career,35000.0,,,,1.0
2669,855.0,Hanya Yanagihara,Hanya,Yanagihara,female,1,University of Michigan,winner,American Academy of Arts and Letters,Benjamin H. Danks Award,2020.0,no genre,career,20000.0,,,,1.0
2670,873.0,Heidi Schreck,Heidi,Schreck,female,0,no mfa,winner,American Academy of Arts and Letters,Benjamin H. Danks Award,2019.0,no genre,career,20000.0,,,,1.0
2671,876.0,Helen Simpson,Helen,Simpson,female,0,no mfa,winner,American Academy of Arts and Letters,E. M. Forster Award,2002.0,no genre,career,10000.0,,,,1.0
2672,895.0,Hilary Mantel,Hilary,Mantel,female,0,no mfa,winner,Tulsa Library Trust,Helmerich Distinguished Author Award,2018.0,prose,career,40000.0,,,,1.0
2673,897.0,Hildad Doolittle,Hildad,Doolittle,female,0,no mfa,winner,American Academy of Arts and Letters,Award of Merit Medal in Poetry,1960.0,poetry,career,25000.0,,,,1.0
2674,929.0,Isabel Bolton,Isabel,Bolton,female,0,no mfa,winner,American Academy of Arts and Letters,Arts and Letters Awards,1953.0,no genre,career,10000.0,,,,1.0
